Kvote;Lærested;Opptaksrunde;Studiekode;Studienavn;Studiested;Utdanningsområde og -type;År;Poenggrense
Ordinær kvote;UIS;Suppleringsopptak;217 131;Barnehagelærer, deltid;;LÆRER - BHGLÆRER;2020;41.1
Førstegangsvitnemålskvote;NORD;Hovedopptak;204 135;Barnehagelærer, deltid, Bodø;;LÆRER - BHGLÆRER;2020;0
Ordinær kvote;NORD;Hovedopptak;204 135;Barnehagelærer, deltid, Bodø;;LÆRER - BHGLÆRER;2020;42.3
Førstegangsvitnemålskvote;NORD;Suppleringsopptak;204 135;Barnehagelærer, deltid, Bodø;;LÆRER - BHGLÆRER;2020;0
Ordinær kvote;NORD;Suppleringsopptak;204 135;Barnehagelærer, deltid, Bodø;;LÆRER - BHGLÆRER;2020;38
Førstegangsvitnemålskvote;USN;Hovedopptak;222 134;Barnehagelærer, deltid, Notodden;;LÆRER - BHGLÆRER;2020;0
Ordinær kvote;USN;Hovedopptak;222 134;Barnehagelærer, deltid, Notodden;;LÆRER - BHGLÆRER;2020;32.9
Førstegangsvitnemålskvote;USN;Suppleringsopptak;222 134;Barnehagelærer, deltid, Notodden;;LÆRER - BHGLÆRER;2020;0
Ordinær kvote;USN;Suppleringsopptak;222 134;Barnehagelærer, deltid, Notodden;;LÆRER - BHGLÆRER;2020;32.9
Førstegangsvitnemålskvote;DMMH;Hovedopptak;253 133;Barnehagelærer, deltid, Trondheim;;LÆRER - BHGLÆRER;2020;0
Ordinær kvote;DMMH;Hovedopptak;253 133;Barnehagelærer, deltid, Trondheim;;LÆRER - BHGLÆRER;2020;38.5
